"-- Please select --","-- Kies asseblief --"
"1 Column","1 kolom"
"2 Columns","2 kolomme"
"3 Columns","3 kolomme"
"3 Columns With Colspan","3 Kolomme Met Colspan"
"Example: .step-title{background-color: #1979c3;}","Voorbeeld: .step-titel {agtergrond-kleur: # 1979c3;}"
"AVAILABLE FIELDS","BESKIKBARE GEBIEDE"
"Add","Voeg"
"Additional Content","Bykomende inhoud"
"Additional Information","Bykomende inligting"
"After Adding a Product Redirect to OneStepCheckout Page","Nadat u 'n Produk Aanstuur na OneStepCheckout-bladsy bygevoeg het"
"All fields have been saved.","Alle velde is gestoor."
"Allow Customer Add Other Option","Laat kliënt ander opsie by"
"Allow Guest Checkout","Laat gas-uitbetaling toe"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Laat check as 'n gas toe. Gaste kan 'n rekening in die kassa-bladsy skep."
"Allow customer comment in order.","Laat kliënte kommentaar in orde."
"Allow customers can billing to a different address from billing address.","Laat kliënte toe om na 'n ander adres te faktureer vanaf faktuuradres."
"Amount","bedrag"
"Calculate Method","Bereken Metode"
"Can Show Billing Address","Kan faktuur adres wys"
"Capture+ Key","Vang + Sleutel"
"Capture+ by PCA Predict","Vang + deur PCA Voorspel"
"Checked Newsletter by default","Gekontroleerde Nuusbrief by verstek"
"Checkout Page Layout","Checkout bladsy uitleg"
"Could not add gift wrap for this quote","Kon nie geskenkwrap vir hierdie kwotasie byvoeg nie"
"Could not remove item from quote","Kon nie item uit kwotasie verwyder nie"
"Could not update item from quote","Kon nie item van kwotasie opdateer nie"
"Custom Css","Aangepaste Css"
"Date Format","Datum formaat"
"Day/Month/Year","Dag / maand / jaar"
"Days Off","Dae af"
"Default","verstek"
"Default Payment Method","Verstek betaalmetode"
"Default Shipping Method","Verstek Versendingsmetode"
"Delivery Time","Afleweringstyd"
"Design Configuration","Ontwerpkonfigurasie"
"Design Style","Ontwerpstyl"
"Display Configuration","Vertoon konfigurasie"
"Enable Delivery Time","Aktiveer afleweringstyd"
"Enable Gift Message","Aktiveer geskenkboodskap"
"Enable Gift Wrap","Aktiveer Gift Wrap"
"Enable One Step Checkout","Aktiveer een stapuitgawe"
"Enable Social Login On Checkout Page","Aktiveer sosiale aanmelding op kassa-bladsy"
"Enable Survey","Aktiveer opname"
"Enter the amount of gift wrap fee.","Gee die bedrag van die geskenkafslagfooi in."
"Error during save field position.","Fout tydens spaar veld posisie."
"Manage Fields","Manage Fields"
"Flat","Plat"
"General Configuration","Algemene konfigurasie"
"Gift Wrap","Geskenkpapier"
"Google","Google"
"Google Api Key","Google Api sleutel"
"HTML allowed","HTML toegelaat"
"Heading Background Color","Opskrif agtergrondkleur"
"Heading Text Color","Opskrif Tekst Kleur"
"IP Country Lookup","IP Land Lookup"
"In Payment Area","In Betaalarea"
"In Review Area","In Review Area"
"It will show on success page","Dit sal op die suksesbladsy wys"
"Material","materiaal"
"Month/Day/Year","Maand / dag / jaar"
"No","Geen"
"One Step Checkout","Een stapuitgawe"
"One Step Checkout Description","Een stapuitgawe beskrywing"
"One Step Checkout Page Title","Een-stap-uitgawe bladsy titel"
"One step checkout is turned off.","Een stap-kassa is afgeskakel."
"Options","opsies"
"Order Comment","Bestel kommentaar"
"Order Survey","Bestelling Opname"
"Per Item","Per item"
"Per Order","Per bestelling"
"Place Order button color","Plaas Bestelknoppie kleur"
"Restrict the auto suggestion for a specific country","Beperk die outomatiese voorstel vir 'n spesifieke land"
"SORTED FIELDS","GEVORMDE GEBIEDE"
"Save Position","Stoor posisie"
"Set default payment method in the checkout process.","Stel verstek betaling metode in die kassa proses."
"Set default shipping method in the checkout process.","Stel standaard gestuur metode in die kassa proses."
"Show Discount Code Section","Wys afslagkode-afdeling"
"Show Login Link","Wys Login Link"
"Show Newsletter Checkbox","Wys Nuusbrief Checkbox"
"Show Order Comment","Wys bestelling kommentaar"
"Show Order Review Section","Wys bestellingsoorsig afdeling"
"Show Product Thumbnail Image","Wys Produk Duimnaelskets Image"
"Show Sign up newsletter selection","Wys Teken nuusbrief seleksie"
"You already have an account with us","Jy het reeds 'n rekening by ons"
"Sign in","Teken in"
"continue as guest.","Gaan voort as gas."
"Street","straat"
"Style 1","Styl 1"
"Style 2","Styl 2"
"Style 3","Styl 3"
"The default country will be set based on location of the customer.","Die standaard land sal ingestel word op grond van die ligging van die kliënt."
"There is an error while subscribing for newsletter.","Daar is 'n fout tydens die inteken vir nuusbrief."
"To calculate gift wrap fee based on item or order.","Om geskenkpakgeld te bereken op grond van item of bestelling."
"Unable to save order information. Please check input data.","Kon nie bestellingsinligting stoor nie. Kontroleer asseblief insetdata."
"Use Auto Suggestion Technology","Gebruik Auto Suggestion Technology"
"When customer fills address fields, it will suggest a list of full addresses.","Wanneer kliënte adresvelde invul, sal dit 'n lys van volledige adresse voorstel."
"Year/Month/Day","Jaar / maand / dag"
"You can disable Order Review Section. It is enabled by default.","U kan bestellingsoorsig-afdeling deaktiveer. Dit is standaard aangeskakel."
