Block,Block
Position,Position
"Sort Order","Sort Order"
More,More
"Order Summary","Order Summary"
"Please install %1 to add more custom checkout fields.","Please install %1 to add more custom checkout fields."
"Order Attributes module has already installed. Please %1 to manage them here.","Order Attributes module has already installed. Please %1 to manage them here."
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Address Information","Address Information"
"Save Position","Save Position"
"Please install %1 to add more address fields.","Please install %1 to add more address fields."
"Add Customer Attributes","Add Customer Attributes"
"Add Order Attributes","Add Order Attributes"
"Manage Fields","Manage Fields"
label,label
"Gift Wrap","Gift Wrap"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Out of stock","Out of stock"
"One Step Checkout","One Step Checkout"
"Error during save field position.","Error during save field position."
"All fields have been saved.","All fields have been saved."
"One step checkout is turned off.","One step checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
"Requested %1 product doesn't exist","Requested %1 product doesn't exist"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"We can't update the item right now.","We can't update the item right now."
"Cart %1 doesn't contain item  %2","Cart %1 doesn't contain item  %2"
"Could not update item from quote","Could not update item from quote"
"Could not remove item from quote","Could not remove item from quote"
"Could not add gift wrap for this quote","Could not add gift wrap for this quote"
"Unable to save order information. Please check input data.","Unable to save order information. Please check input data."
No,No
Google,Google
Yes,Yes
"No (require create account)","No (require create account)"
"No (require login)","No (require login)"
Default,Default
"Filled In","Filled In"
"In Payment Area","In Payment Area"
"In Review Area","In Review Area"
Flat,Flat
Material,Material
"Per Order","Per Order"
"Per Item","Per Item"
"1 Column","1 Column"
"2 Columns","2 Columns"
"2 Columns With Floating Column","2 Columns With Floating Column"
"3 Columns","3 Columns"
"3 Columns With Colspan","3 Columns With Colspan"
"-- Please select --","-- Please select --"
"With Gap","With Gap"
"Select Static Block","Select Static Block"
"Use Default Design","Use Default Design"
None,None
"In Success Page","In Success Page"
"At Top of Checkout Page","At Top of Checkout Page"
"At Bottom of Checkout Page","At Bottom of Checkout Page"
Options,Options
Add,Add
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is an error while subscribing for newsletter.","There is an error while subscribing for newsletter."
"One Step Checkout Seal Content","One Step Checkout Seal Content"
"Is Required?","Is Required?"
"Additional Content","Additional Content"
"Order Comment","Order Comment"
"Order Survey","Order Survey"
Question:,Question:
Answers:,Answers:
sample,sample
"Select all","Select all"
"Unselect all","Unselect all"
"Choose an Option...","Choose an Option..."
"Gift Card Information","Gift Card Information"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
Message,Message
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
Question,Question
"Add an option...","Add an option..."
"Submit Answers","Submit Answers"
"Additional Information","Additional Information"
Answers,Answers
"My billing and shipping address are the same","My billing and shipping address are the same"
"Create account","Create account"
Password,Password
"Confirm Password","Confirm Password"
"New Address","New Address"
Edit,Edit
"Save in address book","Save in address book"
"Already have an account? Click here to login","Already have an account? Click here to login"
"Email Address","Email Address"
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"You already have an account with us.","You already have an account with us."
"Sign in","Sign in"
"or continue as guest.","or continue as guest."
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Payment Methods","Payment Methods"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel coupon","Cancel coupon"
"Gift Message","Gift Message"
From:,From:
To:,To:
Message:,Message:
"Register for newsletter","Register for newsletter"
Comments,Comments
"Place Order","Place Order"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
Price,Price
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Forgot an item?","Forgot an item?"
"Edit your cart","Edit your cart"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"Product Name","Product Name"
Qty,Qty
Subtotal,Subtotal
"View Details","View Details"
"Options Details","Options Details"
Update,Update
Delete,Delete
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Login successfully. Please wait...","Login successfully. Please wait..."
"Please specify a payment method.","Please specify a payment method."
"Please specify a shipping method.","Please specify a shipping method."
"Gift message item","Gift message item"
"Gift Message Item &#40","Gift Message Item &#40"
Cancel,Cancel
"General Configuration","General Configuration"
"Enable One Step Checkout","Enable One Step Checkout"
"Select <strong>Yes</strong> to enable the module.","Select <strong>Yes</strong> to enable the module."
"One Step Checkout Page Title","One Step Checkout Page Title"
"Enter the title of the page.","Enter the title of the page."
"One Step Checkout Description","One Step Checkout Description"
"Enter description for the page. HTML allowed.","Enter description for the page. HTML allowed."
"Default Shipping Method","Default Shipping Method"
"Set default shipping method in the checkout process.","Set default shipping method in the checkout process."
"Default Payment Method","Default Payment Method"
"Set default payment method in the checkout process.","Set default payment method in the checkout process."
"Allow Guest Checkout","Allow Guest Checkout"
"Yes: Allow checking out as a guest. </br>
                                      No (require create account): Guest must enter password to create account at checkout. </br>
                                      No (require login): Guest must login before checkout.","Yes: Allow checking out as a guest. </br>
                                      No (require create account): Guest must enter password to create account at checkout. </br>
                                      No (require login): Guest must login before checkout."
"Auto-redirect to One Step Checkout Page","Auto-redirect to One Step Checkout Page"
"Select Yes to enable redirecting to the Checkout Page after a product's added to cart.","Select Yes to enable redirecting to the Checkout Page after a product's added to cart."
"Show Billing Address","Show Billing Address"
"Select Yes to allow the <strong>Billing Address</strong> block to appear in the Checkout Page, or No to imply that <strong>Billing Address</strong> and <strong>Shipping Address</strong> are the same.","Select Yes to allow the <strong>Billing Address</strong> block to appear in the Checkout Page, or No to imply that <strong>Billing Address</strong> and <strong>Shipping Address</strong> are the same."
"Use Auto Suggestion Technology","Use Auto Suggestion Technology"
"Select <strong>Google</strong> to use it for automatic address suggestion, or <strong>No</strong> to disable this feature.","Select <strong>Google</strong> to use it for automatic address suggestion, or <strong>No</strong> to disable this feature."
"Google Api Key","Google Api Key"
"You should register a new key. Get Api key <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">here</a>","You should register a new key. Get Api key <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"" target=""_blank"">here</a>"
"Restrict the auto suggestion for a specific country","Restrict the auto suggestion for a specific country"
"Capture+ Key","Capture+ Key"
"To set up a Capture+ account or these keys, please visit <a href=""http://www.pcapredict.com/en-us/address-capture-software/?utm_source=mageplaza.com&amp;utm_medium=one-step-checkout&amp;utm_campaign=one-step-checkout"" target=""_blank"" style=""margin-left:0;"">Getting Started</a> page","To set up a Capture+ account or these keys, please visit <a href=""http://www.pcapredict.com/en-us/address-capture-software/?utm_source=mageplaza.com&amp;utm_medium=one-step-checkout&amp;utm_campaign=one-step-checkout"" target=""_blank"" style=""margin-left:0;"">Getting Started</a> page"
"IP Country Lookup","IP Country Lookup"
"The default country will be set based on location of the customer.","The default country will be set based on location of the customer."
"Enable GeoIP","Enable GeoIP"
