"-- Please select --","-- Пожалуйста выберите --"
"1 Column","1 колонка"
"2 Columns","2 столбца"
"3 Columns","3 столбца"
"3 Columns With Colspan","3 колонки с Colspan"
"Example: .step-title{background-color: #1979c3;}","Пример: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","ДОСТУПНЫЕ ПОЛЯ"
"Add","Добавить"
"Additional Content","Дополнительный контент"
"Additional Information","Дополнительная информация"
"After Adding a Product Redirect to OneStepCheckout Page","После добавления перенаправления продукта на страницу OneStepCheckout"
"All fields have been saved.","Все поля сохранены."
"Allow Customer Add Other Option","Разрешить клиенту добавлять другой вариант"
"Allow Guest Checkout","Разрешить проверку гостей"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Разрешить проверку в качестве гостя. Гость может создать учетную запись на странице проверки."
"Allow customer comment in order.","Разрешить комментарий клиента в порядке."
"Allow customers can billing to a different address from billing address.","Разрешить клиентам биллинг на другой адрес с платежного адреса."
"Amount","Количество"
"Calculate Method","Вычислить метод"
"Can Show Billing Address","Показать выставленный платежный адрес"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + by PCA Predict"
"Checked Newsletter by default","Проверенный информационный бюллетень по умолчанию"
"Checkout Page Layout","Оформление макета страницы"
"Could not add gift wrap for this quote","Не удалось добавить подарочную упаковку для этой цитаты"
"Could not remove item from quote","Не удалось удалить элемент из цитаты."
"Could not update item from quote","Не удалось обновить элемент из цитаты."
"Custom Css","Пользовательские CSS"
"Date Format","Формат даты"
"Day/Month/Year","День месяц год"
"Days Off","Выходные дни"
"Default","По умолчанию"
"Default Payment Method","Метод оплаты по умолчанию"
"Default Shipping Method","Метод доставки по умолчанию"
"Delivery Time","Срок поставки"
"Design Configuration","Конфигурация конфигурации"
"Design Style","Стиль дизайна"
"Display Configuration","Конфигурация дисплея"
"Enable Delivery Time","Включить время доставки"
"Enable Gift Message","Включить подарочное сообщение"
"Enable Gift Wrap","Включить подарочную упаковку"
"Enable One Step Checkout","Включить одноэтапную проверку"
"Enable Social Login On Checkout Page","Включить социальный вход на странице проверки"
"Enable Survey","Включить опрос"
"Enter the amount of gift wrap fee.","Введите сумму платы за подачу подарка."
"Error during save field position.","Ошибка во время сохранения позиции поля."
"Manage Fields","Manage Fields"
"Flat","Квартира"
"General Configuration","Общая конфигурация"
"Gift Wrap","Подарочная упаковка"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML разрешен"
"Heading Background Color","Цвет фона заголовка"
"Heading Text Color","Цвет текста заголовка"
"IP Country Lookup","Поиск по странам IP"
"In Payment Area","В зоне оплаты"
"In Review Area","В зоне обзора"
"It will show on success page","Он отобразится на странице успеха"
"Material","материал"
"Month/Day/Year","Месяц день год"
"No","нет"
"One Step Checkout","Одноэтапная проверка"
"One Step Checkout Description","Описание One Step Checkout"
"One Step Checkout Page Title","Одноэтапная покупка Название страницы"
"One step checkout is turned off.","Однократная проверка выключена."
"Options","Опции"
"Order Comment","Комментарий к заказу"
"Order Survey","Заказать опрос"
"Per Item","За единицу"
"Per Order","За заказ"
"Place Order button color","Цвет кнопки «Заказать заказ»"
"Restrict the auto suggestion for a specific country","Ограничить автоматическое предложение для конкретной страны"
"SORTED FIELDS","СОРТИРОВАННЫЕ ПОЛЯ"
"Save Position","Сохранить позицию"
"Set default payment method in the checkout process.","Установите способ оплаты по умолчанию в процессе оформления заказа."
"Set default shipping method in the checkout process.","Установите способ доставки по умолчанию в процессе оформления заказа."
"Show Discount Code Section","Показать раздел скидочных кодов"
"Show Login Link","Показать ссылку входа"
"Show Newsletter Checkbox","Показать новостную рассылку"
"Show Order Comment","Показать комментарий к заказу"
"Show Order Review Section","Показать список"
"Show Product Thumbnail Image","Показать изображение миниатюры продукта"
"Show Sign up newsletter selection","Показать Подписаться на рассылку новостей"
"You already have an account with us","У вас уже есть счет у нас"
"Sign in","войти в систему"
"continue as guest.","продолжить как гость."
"Street","улица"
"Style 1","Стиль 1"
"Style 2","Стиль 2"
"Style 3","Стиль 3"
"The default country will be set based on location of the customer.","Страна по умолчанию будет установлена ​​на основе местоположения клиента."
"There is an error while subscribing for newsletter.","При подписке на информационный бюллетень есть ошибка."
"To calculate gift wrap fee based on item or order.","Чтобы рассчитать плату за подачу подарка на основе предмета или заказа."
"Unable to save order information. Please check input data.","Не удалось сохранить информацию о заказе. Проверьте входные данные."
"Use Auto Suggestion Technology","Использовать технологию автоматического предложения"
"When customer fills address fields, it will suggest a list of full addresses.","Когда клиент заполняет поля адреса, он предлагает список полных адресов."
"Year/Month/Day","Год месяц день"
"You can disable Order Review Section. It is enabled by default.","Вы можете отключить раздел обзора заказов. Он включен по умолчанию."
