"-- Please select --","-- Please select --"
"1 Column","1 Column"
"2 Columns","2 Columns"
"3 Columns","3 Columns"
"3 Columns With Colspan","3 Columns With Colspan"
"Example: .step-title{background-color: #1979c3;}","Example: .step-title{background-color: #1979c3;}"
"AVAILABLE FIELDS","AVAILABLE FIELDS"
"Add","Add"
"Additional Content","Additional Content"
"Additional Information","Additional Information"
"After Adding a Product Redirect to OneStepCheckout Page","After Adding a Product Redirect to OneStepCheckout Page"
"All fields have been saved.","All fields have been saved."
"Allow Customer Add Other Option","Allow Customer Add Other Option"
"Allow Guest Checkout","Allow Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Allow checking out as a guest. Guest can create an account in the checkout page."
"Allow customer comment in order.","Allow customer comment in order."
"Allow customers can billing to a different address from billing address.","Allow customers can billing to a different address from billing address."
"Amount","Amount"
"Calculate Method","Calculate Method"
"Can Show Billing Address","Can Show Billing Address"
"Capture+ Key","Capture+ Key"
"Capture+ by PCA Predict","Capture+ by PCA Predict"
"Checked Newsletter by default","Checked Newsletter by default"
"Checkout Page Layout","Checkout Page Layout"
"Could not add gift wrap for this quote","Could not add gift wrap for this quote"
"Could not remove item from quote","Could not remove item from quote"
"Could not update item from quote","Could not update item from quote"
"Custom Css","Custom Css"
"Date Format","Date Format"
"Day/Month/Year","Day/Month/Year"
"Days Off","Days Off"
"Default","Default"
"Default Payment Method","Default Payment Method"
"Default Shipping Method","Default Shipping Method"
"Delivery Time","Delivery Time"
"Design Configuration","Design Configuration"
"Design Style","Design Style"
"Display Configuration","Display Configuration"
"Enable Delivery Time","Enable Delivery Time"
"Enable Gift Message","Enable Gift Message"
"Enable Gift Wrap","Enable Gift Wrap"
"Enable One Step Checkout","Enable One Step Checkout"
"Enable Social Login On Checkout Page","Enable Social Login On Checkout Page"
"Enable Survey","Enable Survey"
"Enter the amount of gift wrap fee.","Enter the amount of gift wrap fee."
"Error during save field position.","Error during save field position."
"Manage Fields","Manage Fields"
"Flat","Flat"
"General Configuration","General Configuration"
"Gift Wrap","Gift Wrap"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML allowed"
"Heading Background Color","Heading Background Color"
"Heading Text Color","Heading Text Color"
"IP Country Lookup","IP Country Lookup"
"In Payment Area","In Payment Area"
"In Review Area","In Review Area"
"It will show on success page","It will show on success page"
"Material","Material"
"Month/Day/Year","Month/Day/Year"
"No","No"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Description"
"One Step Checkout Page Title","One Step Checkout Page Title"
"One step checkout is turned off.","One step checkout is turned off."
"Options","Options"
"Order Comment","Order Comment"
"Order Survey","Order Survey"
"Per Item","Per Item"
"Per Order","Per Order"
"Place Order button color","Place Order button color"
"Restrict the auto suggestion for a specific country","Restrict the auto suggestion for a specific country"
"SORTED FIELDS","SORTED FIELDS"
"Save Position","Save Position"
"Set default payment method in the checkout process.","Set default payment method in the checkout process."
"Set default shipping method in the checkout process.","Set default shipping method in the checkout process."
"Show Discount Code Section","Show Discount Code Section"
"Show Login Link","Show Login Link"
"Show Newsletter Checkbox","Show Newsletter Checkbox"
"Show Order Comment","Show Order Comment"
"Show Order Review Section","Show Order Review Section"
"Show Product Thumbnail Image","Show Product Thumbnail Image"
"Show Sign up newsletter selection","Show Sign up newsletter selection"
"You already have an account with us","You already have an account with us"
"Sign in","Sign in"
"continue as guest.","continue as guest."
"Street","Street"
"Style 1","Style 1"
"Style 2","Style 2"
"Style 3","Style 3"
"The default country will be set based on location of the customer.","The default country will be set based on location of the customer."
"There is an error while subscribing for newsletter.","There is an error while subscribing for newsletter."
"To calculate gift wrap fee based on item or order.","To calculate gift wrap fee based on item or order."
"Unable to save order information. Please check input data.","Unable to save order information. Please check input data."
"Use Auto Suggestion Technology","Use Auto Suggestion Technology"
"When customer fills address fields, it will suggest a list of full addresses.","When customer fills address fields, it will suggest a list of full addresses."
"Year/Month/Day","Year/Month/Day"
"You can disable Order Review Section. It is enabled by default.","You can disable Order Review Section. It is enabled by default."
