"-- Please select --","-- Lütfen seçin --"
"1 Column","1 sütun"
"2 Columns","2 sütun"
"3 Columns","3 sütun"
"3 Columns With Colspan","Colspan'lı 3 Sütun"
"Example: .step-title{background-color: #1979c3;}","Örnek: .step-başlık {background-color: # 1979c3;}"
"AVAILABLE FIELDS","MEVCUT ALANLAR"
"Add","Eklemek"
"Additional Content","Ek İçerik"
"Additional Information","ek bilgi"
"After Adding a Product Redirect to OneStepCheckout Page","Bir Ürün Ekledikten Sonra OneStepCheckout Sayfasına Yönlendirme"
"All fields have been saved.","Tüm alanlar kaydedildi."
"Allow Customer Add Other Option","Müşterinin Diğer Seçenek Eklemesine İzin Ver"
"Allow Guest Checkout","Konuk Checkout'a İzin Ver"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Konuk olarak check out yapmaya izin ver. Konuk, ödeme sayfasında bir hesap oluşturabilir."
"Allow customer comment in order.","Müşterinin yorumuna sırayla izin verin."
"Allow customers can billing to a different address from billing address.","Müşterilerin faturalandırma adresinden farklı bir adrese faturalandırma yapmasına izin verin."
"Amount","Tutar"
"Calculate Method","Hesaplama Yöntemi"
"Can Show Billing Address","Fatura Adresi Gösterilebilir"
"Capture+ Key","Yakalama + Anahtar"
"Capture+ by PCA Predict","PCA Öngörüsü ile Yakalama +"
"Checked Newsletter by default","Varsayılan olarak Kontrol Edilen Haber Bülteni"
"Checkout Page Layout","Ödeme Sayfası Düzeni"
"Could not add gift wrap for this quote","Bu teklif için hediye paketi eklenemedi"
"Could not remove item from quote","Öğe alıntıdan kaldırılamadı"
"Could not update item from quote","Alıntıdan öğe güncelleştirilemedi"
"Custom Css","Özel Css"
"Date Format","Tarih formatı"
"Day/Month/Year","Gün ay yıl"
"Days Off","İzin günleri"
"Default","Varsayılan"
"Default Payment Method","Varsayılan Ödeme Yöntemi"
"Default Shipping Method","Varsayılan Nakliye Yöntemi"
"Delivery Time","Teslimat süresi"
"Design Configuration","Tasarım Konfigürasyonu"
"Design Style","Tasarım Stili"
"Display Configuration","Ekran Yapılandırması"
"Enable Delivery Time","Teslim Süresini Etkinleştir"
"Enable Gift Message","Hediye İletisini Etkinleştir"
"Enable Gift Wrap","Hediye Paketini Etkinleştir"
"Enable One Step Checkout","Bir Adımlı Ödemeyi Etkinleştir"
"Enable Social Login On Checkout Page","Ödeme Sayfasında Sosyal Oturumu Etkinleştir"
"Enable Survey","Anketi etkinleştir"
"Enter the amount of gift wrap fee.","Hediye paketleme ücreti miktarını girin."
"Error during save field position.","Kayıt yeri konumu sırasında hata oluştu."
"Manage Fields","Manage Fields"
"Flat","Düz"
"General Configuration","Genel Yapılandırma"
"Gift Wrap","Hediye paketi"
"Google","Google"
"Google Api Key","Google Api Anahtarı"
"HTML allowed","Izin verilen HTML"
"Heading Background Color","Başlık Arka Planı Rengi"
"Heading Text Color","Başlık Metin Rengi"
"IP Country Lookup","IP Ülke Araştırması"
"In Payment Area","Ödeme Bölgesi'nde"
"In Review Area","İnceleme Alanında"
"It will show on success page","Başarı sayfasında gösterilecek"
"Material","Malzeme"
"Month/Day/Year","Ay gün yıl"
"No","Yok hayır"
"One Step Checkout","Bir Adım Kontrolü"
"One Step Checkout Description","Bir Adım Kontrolü Açıklaması"
"One Step Checkout Page Title","Bir Adım Kontrolü Sayfa Başlığı"
"One step checkout is turned off.","Bir adımla ödeme kapalı."
"Options","Seçenekler"
"Order Comment","Sipariş Yorum"
"Order Survey","Sipariş Anketi"
"Per Item","Madde başına"
"Per Order","Sipariş Başına"
"Place Order button color","Sipariş Ver düğmesi rengi"
"Restrict the auto suggestion for a specific country","Belirli bir ülkenin otomatik önerisini kısıtla"
"SORTED FIELDS","SIRALI ALANLAR"
"Save Position","Konumu Kaydet"
"Set default payment method in the checkout process.","Ödeme işleminde varsayılan ödeme yöntemini ayarlayın."
"Set default shipping method in the checkout process.","Ödeme işleminde varsayılan gönderim yöntemi ayarlayın."
"Show Discount Code Section","İndirim Kod Bölümünü Göster"
"Show Login Link","Giriş Bağlantısını Göster"
"Show Newsletter Checkbox","Haber bültenini onay kutusunu göster"
"Show Order Comment","Sipariş Kodunu Göster"
"Show Order Review Section","Sipariş İnceleme Bölümünü Göster"
"Show Product Thumbnail Image","Ürün Küçük Resim Göster"
"Show Sign up newsletter selection","Göster Kayıt bülteni seçimi"
"You already have an account with us","Zaten bizde bir hesabın var"
"Sign in","Giriş yap"
"continue as guest.","misafir olarak devam et."
"Street","Sokak"
"Style 1","Stil 1"
"Style 2","Stil 2"
"Style 3","Stil 3"
"The default country will be set based on location of the customer.","Varsayılan ülke, müşterinin bulunduğu yere göre belirlenecektir."
"There is an error while subscribing for newsletter.","Haber bültenine abone olurken bir hata var."
"To calculate gift wrap fee based on item or order.","Maddeye veya siparişe göre hediye paketi ücreti hesaplamak."
"Unable to save order information. Please check input data.","Sipariş bilgileri kaydedilemiyor. Lütfen giriş verilerini kontrol edin."
"Use Auto Suggestion Technology","Otomatik Öneri Teknolojisini Kullan"
"When customer fills address fields, it will suggest a list of full addresses.","Müşteri adres alanlarını doldurduğunda, tam adreslerin bir listesi önermektedir."
"Year/Month/Day","Yıl ay gün"
"You can disable Order Review Section. It is enabled by default.","Sipariş Gözden Geçirme Bölümünü devre dışı bırakabilirsiniz. Varsayılan olarak etkindir."
