"-- Please select --","-- Виберіть будь ласка --"
"1 Column","1 стовпчик"
"2 Columns","2 стовпці"
"3 Columns","3 стовпці"
"3 Columns With Colspan","3 стовпці з Colspan"
"Example: .step-title{background-color: #1979c3;}","Приклад: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","НАСТУПНІ ПОЛЯ"
"Add","Додати"
"Additional Content","Додатковий вміст"
"Additional Information","Додаткова інформація"
"After Adding a Product Redirect to OneStepCheckout Page","Після додавання перенаправлення продукту на сторінку OneStepCheckout"
"All fields have been saved.","Усі поля були збережені."
"Allow Customer Add Other Option","Дозволити клієнту додавати інший варіант"
"Allow Guest Checkout","Дозволити гостьовий оформити замовлення"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Дозволити перевірку як гостя. Гість може створити обліковий запис на сторінці оформлення замовлення."
"Allow customer comment in order.","Дозволити коментар клієнта у порядку."
"Allow customers can billing to a different address from billing address.","Дозволити клієнтам здійснювати виставлення рахунків за іншою адресою із платіжної адреси."
"Amount","Сума"
"Calculate Method","Обчислити метод"
"Can Show Billing Address","Можна відображати адресу для оплати"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Захоплення + за допомогою PCA Predict"
"Checked Newsletter by default","За замовчуванням перевірений бюлетень"
"Checkout Page Layout","Макет оформлення оформлення замовлення"
"Could not add gift wrap for this quote","Не вдалося додати подарункову упаковку для цієї цитати"
"Could not remove item from quote","Не вдалося видалити елемент із цитата"
"Could not update item from quote","Не вдалось оновити елемент із цитата"
"Custom Css","Custom CSS"
"Date Format","Формат дати"
"Day/Month/Year","День / місяць / рік"
"Days Off","Вихідні дні"
"Default","За замовчуванням"
"Default Payment Method","Стандартний метод платежу"
"Default Shipping Method","Стандартний метод доставки"
"Delivery Time","Час доставки"
"Design Configuration","Конфігурація дизайну"
"Design Style","Стиль дизайну"
"Display Configuration","Конфігурація дисплея"
"Enable Delivery Time","Увімкнути час доставки"
"Enable Gift Message","Увімкнути подарункове повідомлення"
"Enable Gift Wrap","Увімкнути подарункову упаковку"
"Enable One Step Checkout","Увімкнути One-Step Checkout"
"Enable Social Login On Checkout Page","Увімкнути соціальний вхід на сторінці оформлення"
"Enable Survey","Увімкнути опитування"
"Enter the amount of gift wrap fee.","Введіть суму подарункової упаковки."
"Error during save field position.","Помилка під час поля збереження поля."
"Manage Fields","Manage Fields"
"Flat","Квартира"
"General Configuration","Загальна конфігурація"
"Gift Wrap","Подарункова упаковка"
"Google","Google"
"Google Api Key","Google Апі Ключ"
"HTML allowed","HTML дозволено"
"Heading Background Color","Колір тла заголовка"
"Heading Text Color","Колір тексту заголовка"
"IP Country Lookup","IP Lookup"
"In Payment Area","В області платежів"
"In Review Area","У зоні огляду"
"It will show on success page","Він буде показуватися на сторінці успіху"
"Material","Матеріал"
"Month/Day/Year","Місяць / день / рік"
"No","Немає"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","Опис одного кроку"
"One Step Checkout Page Title","Заголовок сторінки за квитком"
"One step checkout is turned off.","Квиток на один крок вимкнено."
"Options","Параметри"
"Order Comment","Замовити коментар"
"Order Survey","Огляд замовлення"
"Per Item","За одиницю"
"Per Order","На замовлення"
"Place Order button color","Колір кнопки ""Місце замовлення"""
"Restrict the auto suggestion for a specific country","Обмежте автоматичну пропозицію для певної країни"
"SORTED FIELDS","СОРТИРОВАНІ ПОЛЯ"
"Save Position","Зберегти позицію"
"Set default payment method in the checkout process.","Вкажіть спосіб оплати за замовчуванням за умовчанням."
"Set default shipping method in the checkout process.","Вкажіть метод доставки за умовчанням в процесі оформлення замовлення."
"Show Discount Code Section","Показати розділ коду дисконту"
"Show Login Link","Показ посилання на вхід"
"Show Newsletter Checkbox","Показувати інформаційний бюлетень"
"Show Order Comment","Показати коментар замовлення"
"Show Order Review Section","Показати розділ перегляду замовлень"
"Show Product Thumbnail Image","Показати мініатюру продукту"
"Show Sign up newsletter selection","Показати підпис підпис на розсилку новин"
"You already have an account with us","У вас вже є обліковий запис у нас"
"Sign in","Увійти"
"continue as guest.","продовжуй як гість"
"Street","Вулиця"
"Style 1","Стиль 1"
"Style 2","Стиль 2"
"Style 3","Стиль 3"
"The default country will be set based on location of the customer.","Країна за замовчуванням буде встановлена ​​залежно від місцезнаходження покупця."
"There is an error while subscribing for newsletter.","Під час підписки на інформаційний бюлетень виникла помилка."
"To calculate gift wrap fee based on item or order.","Для розрахунку вартості подарункової упаковки в залежності від предмета або замовлення."
"Unable to save order information. Please check input data.","Не вдається зберегти інформацію про замовлення. Будь ласка, перевірте вхідні дані."
"Use Auto Suggestion Technology","Використовуйте технологію автоматичного пропозицію"
"When customer fills address fields, it will suggest a list of full addresses.","Коли користувач заповнює поля адреси, він запропонує список повних адрес."
"Year/Month/Day","Рік / місяць / день"
"You can disable Order Review Section. It is enabled by default.","Ви можете вимкнути розділ перегляду замовлень. Вона ввімкнена за замовчуванням."
