"-- Please select --","-- Vui lòng chọn --"
"1 Column","1 Cột"
"2 Columns","2 cột"
"3 Columns","3 Cột"
"3 Columns With Colspan","3 Cột Với ​​Colspan"
"Example: .step-title{background-color: #1979c3;}","Ví dụ: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","CÁC ĐIỂM CÓ S AVN CÓ"
"Add","Thêm vào"
"Additional Content","Nội dung bổ sung"
"Additional Information","thông tin thêm"
"After Adding a Product Redirect to OneStepCheckout Page","Sau khi Thêm Sản phẩm Chuyển hướng đến Trang OneStepCheckout"
"All fields have been saved.","Tất cả các trường đã được lưu."
"Allow Customer Add Other Option","Cho phép khách hàng Thêm tùy chọn khác"
"Allow Guest Checkout","Cho phép Checkout của Khách"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Cho phép kiểm tra là khách. Khách có thể tạo một tài khoản trong trang thanh toán."
"Allow customer comment in order.","Cho phép nhận xét của khách hàng theo thứ tự."
"Allow customers can billing to a different address from billing address.","Cho phép khách hàng có thể thanh toán cho một địa chỉ khác từ địa chỉ thanh toán."
"Amount","Số tiền"
"Calculate Method","Tính Phương pháp"
"Can Show Billing Address","Có thể hiển thị địa chỉ thanh toán"
"Capture+ Key","Phím Capture +"
"Capture+ by PCA Predict","Capture + bởi PCA Predict"
"Checked Newsletter by default","Bản tin Kiểm tra theo mặc định"
"Checkout Page Layout","Giao diện Trang Thanh toán"
"Could not add gift wrap for this quote","Không thể thêm gói quà tặng cho báo giá này"
"Could not remove item from quote","Không thể xóa mục khỏi báo giá"
"Could not update item from quote","Không thể cập nhật mục từ báo giá"
"Custom Css","Css Tuỳ chỉnh"
"Date Format","Định dạng ngày tháng"
"Day/Month/Year","Ngày tháng năm"
"Days Off","Ngày nghỉ"
"Default","Mặc định"
"Default Payment Method","Phương thức thanh toán mặc định"
"Default Shipping Method","Mặc định Phương thức vận chuyển"
"Delivery Time","Thời gian giao hàng"
"Design Configuration","Thiết kế Cấu hình"
"Design Style","Phong cách thiết kế"
"Display Configuration","Cấu hình hiển thị"
"Enable Delivery Time","Bật Thời gian giao hàng"
"Enable Gift Message","Bật Thông báo quà tặng"
"Enable Gift Wrap","Bật gói quà tặng"
"Enable One Step Checkout","Bật một bước Checkout"
"Enable Social Login On Checkout Page","Bật đăng nhập xã hội trên trang Thanh toán"
"Enable Survey","Bật khảo sát"
"Enter the amount of gift wrap fee.","Nhập số tiền gói quà."
"Error during save field position.","Lỗi trong thời gian lưu trường."
"Manage Fields","Manage Fields"
"Flat","Bằng phẳng"
"General Configuration","Cấu hình chung"
"Gift Wrap","Gói quà"
"Google","Google"
"Google Api Key","Khóa Google Api"
"HTML allowed","HTML được phép"
"Heading Background Color","Màu nền tiêu đề"
"Heading Text Color","Tiêu đề màu văn bản"
"IP Country Lookup","Tra cứu quốc gia IP"
"In Payment Area","Trong Khu vực thanh toán"
"In Review Area","Trong vùng đánh giá"
"It will show on success page","Nó sẽ hiển thị trên trang thành công"
"Material","Vật chất"
"Month/Day/Year","Tháng ngày năm"
"No","Không"
"One Step Checkout","Một bước Thanh toán"
"One Step Checkout Description","Một bước Thanh toán Mô tả"
"One Step Checkout Page Title","Một Trang Checkout Trang Tiêu đề"
"One step checkout is turned off.","Một bước thanh toán đã bị tắt."
"Options","Tùy chọn"
"Order Comment","Đặt hàng Bình luận"
"Order Survey","Đặt hàng Khảo sát"
"Per Item","Mỗi mục"
"Per Order","Mỗi đơn đặt hàng"
"Place Order button color","Đặt nút nút màu"
"Restrict the auto suggestion for a specific country","Hạn chế đề xuất tự động cho một quốc gia cụ thể"
"SORTED FIELDS","CÁC L SNH VỰC SORTED"
"Save Position","Lưu vị trí"
"Set default payment method in the checkout process.","Thiết lập phương thức thanh toán mặc định trong quá trình thanh toán."
"Set default shipping method in the checkout process.","Thiết lập phương thức vận chuyển mặc định trong quá trình thanh toán."
"Show Discount Code Section","Hiển thị phần mã giảm giá"
"Show Login Link","Hiển thị liên kết đăng nhập"
"Show Newsletter Checkbox","Showbox Checkbox"
"Show Order Comment","Hiển thị Nhận xét Yêu cầu"
"Show Order Review Section","Hiển thị Phần đánh giá Đặt hàng"
"Show Product Thumbnail Image","Hiển thị hình ảnh thu nhỏ của sản phẩm"
"Show Sign up newsletter selection","Hiển thị Đăng ký nhận bản tin"
"You already have an account with us","Bạn đã có một tài khoản với chúng tôi"
"Sign in","Đăng nhập"
"continue as guest.","tiếp tục làm khách."
"Street","đường phố"
"Style 1","Phong cách 1"
"Style 2","Phong cách 2"
"Style 3","Phong cách 3"
"The default country will be set based on location of the customer.","Quốc gia mặc định sẽ được đặt dựa trên vị trí của khách hàng."
"There is an error while subscribing for newsletter.","Đã xảy ra lỗi khi đăng ký bản tin."
"To calculate gift wrap fee based on item or order.","Để tính phí bọc quà tặng dựa trên mặt hàng hoặc đơn đặt hàng."
"Unable to save order information. Please check input data.","Không thể lưu thông tin đơn hàng. Vui lòng kiểm tra dữ liệu nhập."
"Use Auto Suggestion Technology","Sử dụng Công nghệ Tự gợi ý"
"When customer fills address fields, it will suggest a list of full addresses.","Khi khách hàng điền vào các trường địa chỉ, nó sẽ đề xuất một danh sách các địa chỉ đầy đủ."
"Year/Month/Day","Năm tháng ngày"
"You can disable Order Review Section. It is enabled by default.","Bạn có thể vô hiệu hóa Mục Đánh giá Đặt hàng. Nó được kích hoạt mặc định."
