"-- Please select --","-  請選擇  -"
"1 Column","1列"
"2 Columns","2列"
"3 Columns","3列"
"3 Columns With Colspan","3列與Colspan"
"Example: .step-title{background-color: #1979c3;}","示例：.step-title {background-color：＃1979c3;}"
"AVAILABLE FIELDS","可用的字段"
"Add","加"
"Additional Content","附加內容"
"Additional Information","附加信息"
"After Adding a Product Redirect to OneStepCheckout Page","將產品重定向添加到OneStepCheckout頁面之後"
"All fields have been saved.","所有字段已保存。"
"Allow Customer Add Other Option","允許客戶添加其他選項"
"Allow Guest Checkout","允許訪客結帳"
"Allow checking out as a guest. Guest can create an account in the checkout page.","允許作為客人退房客人可以在結帳頁面中創建一個帳戶。"
"Allow customer comment in order.","允許客戶評論。"
"Allow customers can billing to a different address from billing address.","允許客戶可以從帳單地址計費到不同的地址。"
"Amount","量"
"Calculate Method","計算方法"
"Can Show Billing Address","可顯示帳單地址"
"Capture+ Key","捕獲+鍵"
"Capture+ by PCA Predict","捕捉+由PCA預測"
"Checked Newsletter by default","預設通訊錄"
"Checkout Page Layout","結帳頁面佈局"
"Could not add gift wrap for this quote","無法為此報價添加禮物包裝"
"Could not remove item from quote","無法從報價中刪除項目"
"Could not update item from quote","無法從報價更新料品"
"Custom Css","自定義Css"
"Date Format","日期格式"
"Day/Month/Year","日月年"
"Days Off","休息日"
"Default","默認"
"Default Payment Method","默認付款方式"
"Default Shipping Method","默認送貨方式"
"Delivery Time","交貨時間"
"Design Configuration","設計配置"
"Design Style","設計風格"
"Display Configuration","顯示配置"
"Enable Delivery Time","啟用交貨時間"
"Enable Gift Message","啟用禮品訊息"
"Enable Gift Wrap","啟用禮品包裝"
"Enable One Step Checkout","啟用一步結帳"
"Enable Social Login On Checkout Page","在Checkout頁面上啟用社交登錄"
"Enable Survey","啟用調查"
"Enter the amount of gift wrap fee.","輸入禮品包裹金額。"
"Error during save field position.","保存字段位置時出錯。"
"Manage Fields","Manage Fields"
"Flat","平面"
"General Configuration","一般配置"
"Gift Wrap","禮品包裝"
"Google","谷歌"
"Google Api Key","Google Api密鑰"
"HTML allowed","允許HTML"
"Heading Background Color","標題背景顏色"
"Heading Text Color","標題文字顏色"
"IP Country Lookup","IP國家查詢"
"In Payment Area","在付款區域"
"In Review Area","在審查區域"
"It will show on success page","它將在成功頁面上顯示"
"Material","材料"
"Month/Day/Year","月日年"
"No","沒有"
"One Step Checkout","一步結帳"
"One Step Checkout Description","一步結帳說明"
"One Step Checkout Page Title","一步結帳頁面標題"
"One step checkout is turned off.","一步結帳關閉。"
"Options","選項"
"Order Comment","訂單評論"
"Order Survey","訂單調查"
"Per Item","每件"
"Per Order","按訂單"
"Place Order button color","放置訂單按鈕顏色"
"Restrict the auto suggestion for a specific country","限制特定國家/地區的汽車建議"
"SORTED FIELDS","已分配的字段"
"Save Position","保存位置"
"Set default payment method in the checkout process.","在結帳過程中設置默認付款方式。"
"Set default shipping method in the checkout process.","在結帳過程中設置默認送貨方式。"
"Show Discount Code Section","顯示折扣代碼部分"
"Show Login Link","顯示登錄鏈接"
"Show Newsletter Checkbox","顯示新聞複選框"
"Show Order Comment","顯示訂單評論"
"Show Order Review Section","顯示訂單審查部分"
"Show Product Thumbnail Image","顯示產品縮略圖"
"Show Sign up newsletter selection","顯示註冊通訊選擇"
"You already have an account with us","你已經有了我們的賬戶"
"Sign in","簽到"
"continue as guest.","以訪客繼續。"
"Street","街"
"Style 1","樣式1"
"Style 2","風格2"
"Style 3","風格3"
"The default country will be set based on location of the customer.","默認國家將根據客戶的位置進行設置。"
"There is an error while subscribing for newsletter.","訂閱通訊時出現錯誤。"
"To calculate gift wrap fee based on item or order.","根據物品或訂單計算禮品包裝費。"
"Unable to save order information. Please check input data.","無法保存訂單信息。請檢查輸入數據。"
"Use Auto Suggestion Technology","使用自動建議技術"
"When customer fills address fields, it will suggest a list of full addresses.","當客戶填寫地址字段時，它會建議一個完整地址列表。"
"Year/Month/Day","年月日"
"You can disable Order Review Section. It is enabled by default.","您可以禁用訂單審查部分。默認情況下啟用。"
