Send,Send
Subscribe,Subscribe
Please select,Please select
Magento Related Support,Magento Related Support
Request New Extension Development,Request New Extension Development
%s Support,%s Support
Other Reason,Other Reason
Extensions &amp; Contact,Extensions &amp; Contact
Extensions Information,Extensions Information
Contact Form,Contact Form
Contact Name,Contact Name
Contact Email,Contact Email
Subject,Subject
Reason,Reason
Message,Message
Subscribe to Newsletter,Subscribe to Newsletter
Name,Name
Email,Email
Notifications,Notifications
Receive news about:,Receive news about:
My extensions updates,My extensions updates
New Releases,New Releases
All extensions updates,All extensions updates
Promotions / Discounts,Promotions / Discounts
Other information,Other information
Thank you for your request.,Thank you for your request.
We'll respond as soon as possible.,We'll respond as soon as possible.
We'll send copy of your request to your email.,We'll send copy of your request to your email.
Oops! Something went wrong!,Oops! Something went wrong!
"Contact Neklo Support Team or visit <a href=""%1"" target=""_blank"">%2</a> for additional information","Contact Neklo Support Team or visit <a href=""%1"" target=""_blank"">%2</a> for additional information"
New release %1 is available,New release %1 is available
Your version is up to date,Your version is up to date
Successfully subscribed,Successfully subscribed
