"General Configuration", "General Configuration"
"Module Enable", "Module Enable"
"Coupon Generate Configuration", "Coupon Generate Configuration"
"Coupon Lifetime", "Coupon Lifetime"
"Coupon Prefix", "Coupon Prefix"
"Coupon Suffix", "Coupon Suffix"
"Coupon Length", "Coupon Length"
"Dash Every X Characters", "Dash Every X Characters"
"Frontend Settings", "Frontend Settings"
"Display Offer Form As", "Display Offer Form As"
"Button Label", "Button Label"
"Short Description", "Short Description"
"Block/Popup Title", "Block/Popup Title"
"Success Message", "Success Message"
"Email Notification Settings", "Email Notification Settings"
"Accept Email Template", "Accept Email Template"
"Decline Email Template", "Decline Email Template"
"Counter Offer Email Template", "Counter Offer Email Template"
"Notify Customer About Created Offer", "Notify Customer About Created Offer"
"Notify Customer About Created Offer Template", "Notify Customer About Created Offer Template"
"Notify Admin About Created Offer", "Notify Admin About Created Offer"
"Email Recipients for Admin Notify", "Email Recipients for Admin Notify"
"Notify Admin About Created Offer Template", "Notify Admin About Created Offer Template"
"Email Sender", "Email Sender"
"Cron Settings", "Cron Settings"
"Clean Offers with Declined Status", "Clean Offers with Declined Status"
"Clean Offers if Declined Status is Older than", "Clean Offers if Declined Status is Older than"
"Guest", "Guest"
"Add Recipient", "Add Recipient"
"This offer is not exist", "This offer is not exist"
"Request was successfully accepted", "Request was successfully accepted"
"Request was successfully declined", "Request was successfully declined"
"Offers Grid", "Offers Grid"
"Offer", "Offer"
"Offer Information", "Offer Information"
"Respond Form", "Respond Form"
"This offer no longer exists", "This offer no longer exists"
"Offers Statistic Grid", "Offers Statistic Grid"
"1 Day", "1 Day"
"1 Week", "1 Week"
"15 Days", "15 Days"
"30 Days", "30 Days"
"Respond", "Respond"
"View", "View"
"Not Applied", "Not Applied"
"Not Exist", "Not Exist"
"Has no order", "Has no order"
"Not Sold", "Not Sold"
"Date Created:", "Date Created:"
"Another Store Link with Less Product Price:", "Another Store Link with Less Product Price:"
"Product Name:", "Product Name:"
"SKU:", "SKU:"
"Quantity:", "Quantity:"
"Actual Product Price:", "Actual Product Price:"
"Product Price When Discount was Requested:", "Product Price When Discount was Requested:"
"Requested Price:", "Requested Price:"
"Requested Sale Amount:", "Requested Sale Amount:"
"Status:", "Status:"
"Reason copy:", "Reason copy:"
"Discount Sum", "Discount Sum"
"Coupon Code:", "Coupon Code:"
"Applied Coupon Amount:", "Applied Coupon Amount:"
"Order Number:", "Order Number:"
"Order Date:", "Order Date:"
"Sold Price:", "Sold Price:"
"Another store link", "Another store link"
"Your Price", "Your Price"
"qty", "qty"
"Submit", "Submit"
"Make An Offer", "Make An Offer"
"Offers Grid", "Offers Grid"
"Offers Statistic", "Offers Statistic"
"ID", "ID"
"Created", "Created"
"Price when Discount was requested", "Price when Discount was requested"
"Requested Sale Amount", "Requested Sale Amount"
"Coupon", "Coupon"
"Applied Coupon Amount", "Applied Coupon Amount"
