"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Dailydeal","Create New Dailydeal"
"Dailydeal %1","Dailydeal %1"
"Dailydeal Information","Dailydeal Information"
"Dailydeal to delete was not found.","Dailydeal to delete was not found."
"Dailydeal","Dailydeal"
"Dailydeals","Dailydeals"
"Date From","Date From"
"Date To","Date To"
"Delete Dailydeal","Delete Dailydeal"
"Discount Amount","Discount Amount"
"Discount Type","Discount Type"
"Edit Dailydeal '%1'","Edit Dailydeal '%1'"
"Enable Deal","Enable Deal"
"Fixed","Fixed"
"ID","ID"
"New Dailydeal","New Dailydeal"
"Percentage","Percentage"
"Please Select Dailydeals.","Please Select Dailydeals."
"Product Price","Product Price"
"Product Sku","Product Sku"
"Save Dailydeal","Save Dailydeal"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Dailydeal.","Something went wrong while saving the Dailydeal."
"The Dailydeal has been deleted.","The Dailydeal has been deleted."
"The Dailydeal has been saved.","The Dailydeal has been saved."
"This Dailydeal no longer exists.","This Dailydeal no longer exists."
