"Please select","Please select"
"Product (Deprecated)","Product (Deprecated)"
"Summary Card","Summary Card"
"Summary Card with Large Image","Summary Card with Large Image"
"Short Description","Short Description"
"Long Description","Long Description"
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"Google Cards & Rich Snippets","Google Cards & Rich Snippets"
"Google Cards General Settings","Google Cards General Settings"
Enable,Enable
Description,Description
Price,Price
"In case price is listed with Tax and without Tax select which price should be used.","In case price is listed with Tax and without Tax select which price should be used."
Brand,Brand
"Rich Snippets General Settings","Rich Snippets General Settings"
"Wrap with div","Wrap with div"
"Twitter Cards, Facebook Open Graph & Pinterest Rich Pins","Twitter Cards, Facebook Open Graph & Pinterest Rich Pins"
"Twitter Cards Settings","Twitter Cards Settings"
"Card Type","Card Type"
"Twitter Site","Twitter Site"
"Twitter Creator","Twitter Creator"
"Facebook Open Graph Settings","Facebook Open Graph Settings"
"Site Name","Site Name"
"App Id","App Id"
"Pinterest Rich Pins Settings","Pinterest Rich Pins Settings"
